trade_id,symbol,open_date_time,volume,side,open_price,initial_stop_loss,take_profit,close_date_time,swap,commission,profit,close_reason,candle_patterns
M963704386453006,USDCAD,2025-01-02T16:06:56,0.03,BUY,1.44388,1.4421,1.44815,2025-01-02T16:09:18.041,0.00,-0.08,-0.91,CLOSE_REASON_STOP_LOSS,"['CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_INSIDE', 'CDL_LONGLINE', 'CDL_MARUBOZU', 'CDL_SHORTLINE']"
M963704386453024,USDCAD,2025-01-02T16:10:28,0.03,BUY,1.44393,1.44211,1.44809,2025-01-02T16:55:23.444,0.00,-0.08,-3.49,CLOSE_REASON_STOP_LOSS,"['CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_DOJI_10_0.1', 'CDL_GRAVESTONEDOJI', 'CDL_HIGHWAVE', 'CDL_INSIDE', 'CDL_LONGLEGGEDDOJI', 'CDL_LONGLINE', 'CDL_MARUBOZU', 'CDL_RICKSHAWMAN', 'CDL_SHORTLINE', 'CDL_SPINNINGTOP']"
M963704386453183,EURUSD,2025-01-02T16:45:37,0.03,SELL,1.02472,1.02682,1.01943,2025-01-02T17:10:21.32,0.00,-0.08,-6.40,CLOSE_REASON_STOP_LOSS,"['CDL_DOJI_10_0.1', 'CDL_DRAGONFLYDOJI', 'CDL_HAMMER', 'CDL_HIGHWAVE', 'CDL_HIKKAKE', 'CDL_INSIDE', 'CDL_LONGLEGGEDDOJI', 'CDL_MATCHINGLOW', 'CDL_RICKSHAWMAN', 'CDL_SHORTLINE', 'CDL_SPINNINGTOP', 'CDL_TAKURI']"
M963704386453300,USDJPY,2025-01-02T17:22:23,0.02,BUY,157.74,157.4,158.48,2025-01-02T17:45:13.322,0.00,-0.05,-3.15,CLOSE_REASON_STOP_LOSS,"['CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_DOJI_10_0.1', 'CDL_DRAGONFLYDOJI', 'CDL_HANGINGMAN', 'CDL_HIKKAKE', 'CDL_INSIDE', 'CDL_LONGLEGGEDDOJI', 'CDL_LONGLINE', 'CDL_MARUBOZU', 'CDL_SHORTLINE', 'CDL_TAKURI']"
M963704386453328,US500,2025-01-02T17:27:15,0.21,SELL,5879.08,5907.11,5807.6,2025-01-02T19:49:05.724,0.00,-0.05,3.90,CLOSE_REASON_STOP_LOSS,"['CDL_BELTHOLD', 'CDL_ENGULFING', 'CDL_LONGLINE']"
M963704386453342,US30,2025-01-02T17:28:29,0.1,SELL,42443.3,42640.7,41918.6,2025-01-02T18:31:34.419,0.00,-0.03,25.60,CLOSE_REASON_TAKE_PROFIT,"['CDL_BELTHOLD', 'CDL_ENGULFING', 'CDL_HIKKAKE', 'CDL_INSIDE', 'CDL_LONGLINE']"
M963704386453367,EURUSD,2025-01-02T17:30:46,0.04,SELL,1.02531,1.02678,1.02175,2025-01-02T21:42:31.266,-0.05,-0.1,-5.73,CLOSE_REASON_STOP_LOSS,"['CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_HIKKAKE', 'CDL_INSIDE', 'CDL_LONGLINE', 'CDL_MARUBOZU', 'CDL_SHORTLINE']"
M963704386453749,US30,2025-01-02T18:50:36,0.1,SELL,42215.3,42394.3,41753.9,2025-01-02T19:52:22.831,0.00,-0.03,-16.10,CLOSE_REASON_STOP_LOSS,"['CDL_BELTHOLD', 'CDL_DOJI_10_0.1', 'CDL_GRAVESTONEDOJI', 'CDL_HARAMI', 'CDL_HARAMICROSS', 'CDL_HIKKAKE', 'CDL_INSIDE', 'CDL_LONGLEGGEDDOJI', 'CDL_LONGLINE', 'CDL_RICKSHAWMAN', 'CDL_SHORTLINE', 'CDL_SPINNINGTOP']"
M963704386453887,NZDUSD,2025-01-02T19:10:25,0.07,SELL,0.5591,0.56,0.5568,2025-01-02T20:31:51.729,0.00,-0.18,-4.63,CLOSE_REASON_STOP_LOSS,"['CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_DOJI_10_0.1', 'CDL_DOJISTAR', 'CDL_HIGHWAVE', 'CDL_LONGLEGGEDDOJI', 'CDL_LONGLINE', 'CDL_MARUBOZU', 'CDL_MORNINGDOJISTAR', 'CDL_MORNINGSTAR', 'CDL_RICKSHAWMAN', 'CDL_SEPARATINGLINES', 'CDL_SHORTLINE', 'CDL_SPINNINGTOP']"
M963704386453888,AUDUSD,2025-01-02T19:10:28,0.07,SELL,0.61969,0.62061,0.61739,2025-01-02T20:13:18.097,0.00,-0.18,-2.81,CLOSE_REASON_STOP_LOSS,"['CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_HARAMI', 'CDL_HIKKAKE', 'CDL_INSIDE', 'CDL_LONGLINE', 'CDL_SHORTLINE']"
